zone_id,dropoff_count,LocationID,Borough,Zone,service_zone,zone_type
1,84457,1,EWR,Newark Airport,EWR,Other
2,114,2,Queens,Jamaica Bay,Boro Zone,Other
3,7139,3,Bronx,Allerton/Pelham Gardens,Boro Zone,Other
4,206800,4,Manhattan,Alphabet City,Yellow Zone,Congestion Zone
5,160,5,Staten Island,Arden Heights,Boro Zone,Other
6,1384,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,Other
7,128264,7,Queens,Astoria,Boro Zone,Other
8,906,8,Queens,Astoria Park,Boro Zone,Other
9,6111,9,Queens,Auburndale,Boro Zone,Other
10,48857,10,Queens,Baisley Park,Boro Zone,Other
11,5990,11,Brooklyn,Bath Beach,Boro Zone,Other
12,24866,12,Manhattan,Battery Park,Yellow Zone,Congestion Zone
13,333732,13,Manhattan,Battery Park City,Yellow Zone,Congestion Zone
14,44582,14,Brooklyn,Bay Ridge,Boro Zone,Other
15,6431,15,Queens,Bay Terrace/Fort Totten,Boro Zone,Other
16,11713,16,Queens,Bayside,Boro Zone,Other
17,71945,17,Brooklyn,Bedford,Boro Zone,Other
18,14695,18,Bronx,Bedford Park,Boro Zone,Other
19,8818,19,Queens,Bellerose,Boro Zone,Other
20,11274,20,Bronx,Belmont,Boro Zone,Other
21,11400,21,Brooklyn,Bensonhurst East,Boro Zone,Other
22,16114,22,Brooklyn,Bensonhurst West,Boro Zone,Other
23,1028,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,Other
24,141155,24,Manhattan,Bloomingdale,Yellow Zone,Congestion Zone
25,84104,25,Brooklyn,Boerum Hill,Boro Zone,Other
26,22545,26,Brooklyn,Borough Park,Boro Zone,Other
27,1142,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,Other
28,25574,28,Queens,Briarwood/Jamaica Hills,Boro Zone,Other
29,11242,29,Brooklyn,Brighton Beach,Boro Zone,Other
30,579,30,Queens,Broad Channel,Boro Zone,Other
31,3844,31,Bronx,Bronx Park,Boro Zone,Other
32,8536,32,Bronx,Bronxdale,Boro Zone,Other
33,116233,33,Brooklyn,Brooklyn Heights,Boro Zone,Other
34,8676,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,Other
35,33119,35,Brooklyn,Brownsville,Boro Zone,Other
36,59512,36,Brooklyn,Bushwick North,Boro Zone,Other
37,95289,37,Brooklyn,Bushwick South,Boro Zone,Other
38,11983,38,Queens,Cambria Heights,Boro Zone,Other
39,44014,39,Brooklyn,Canarsie,Boro Zone,Other
40,38883,40,Brooklyn,Carroll Gardens,Boro Zone,Other
41,285042,41,Manhattan,Central Harlem,Boro Zone,Congestion Zone
42,230162,42,Manhattan,Central Harlem North,Boro Zone,Congestion Zone
43,427884,43,Manhattan,Central Park,Yellow Zone,Congestion Zone
44,260,44,Staten Island,Charleston/Tottenville,Boro Zone,Other
45,142560,45,Manhattan,Chinatown,Yellow Zone,Congestion Zone
46,1752,46,Bronx,City Island,Boro Zone,Other
47,10445,47,Bronx,Claremont/Bathgate,Boro Zone,Other
48,1034076,48,Manhattan,Clinton East,Yellow Zone,Congestion Zone
49,74998,49,Brooklyn,Clinton Hill,Boro Zone,Other
50,464316,50,Manhattan,Clinton West,Yellow Zone,Congestion Zone
51,16677,51,Bronx,Co-Op City,Boro Zone,Other
52,29903,52,Brooklyn,Cobble Hill,Boro Zone,Other
53,11470,53,Queens,College Point,Boro Zone,Other
54,10576,54,Brooklyn,Columbia Street,Boro Zone,Other
55,21027,55,Brooklyn,Coney Island,Boro Zone,Other
56,27775,56,Queens,Corona,Boro Zone,Other
57,1515,57,Queens,Corona,Boro Zone,Other
58,1633,58,Bronx,Country Club,Boro Zone,Other
59,575,59,Bronx,Crotona Park,Boro Zone,Other
60,7383,60,Bronx,Crotona Park East,Boro Zone,Other
61,115787,61,Brooklyn,Crown Heights North,Boro Zone,Other
62,33080,62,Brooklyn,Crown Heights South,Boro Zone,Other
63,20540,63,Brooklyn,Cypress Hills,Boro Zone,Other
64,6904,64,Queens,Douglaston,Boro Zone,Other
65,75439,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Other
66,71525,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Other
67,10463,67,Brooklyn,Dyker Heights,Boro Zone,Other
68,1138335,68,Manhattan,East Chelsea,Yellow Zone,Congestion Zone
69,24501,69,Bronx,East Concourse/Concourse Village,Boro Zone,Other
70,26339,70,Queens,East Elmhurst,Boro Zone,Other
71,27637,71,Brooklyn,East Flatbush/Farragut,Boro Zone,Other
72,29208,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,Other
