month,yellow_trips,green_trips,total_trips,yellow_pct,green_pct,month_name
1,3475240,48288,3523528,98.62955537745124,1.3704446225487636,Jan
2,3577542,46645,3624187,98.71295272567338,1.2870472743266284,Feb
3,4145229,51550,4196779,98.77167704089254,1.2283229591074487,Mar
4,3970568,52134,4022702,98.70400541725436,1.2959945827456272,Apr
5,4591844,55405,4647249,98.80778929642031,1.1922107035796876,May
6,4322949,49385,4372334,98.87051172211456,1.1294882778854498,Jun
7,3898971,48202,3947173,98.77882221022489,1.2211777897751126,Jul
8,3574080,46305,3620385,98.7209923806446,1.2790076193554,Aug
9,4251019,48885,4299904,98.86311415324622,1.1368858467537881,Sep
10,4428708,49417,4478125,98.89648011165387,1.103519888346127,Oct
11,4181423,46904,4228327,98.89071966288321,1.1092803371167839,Nov
12,23,19,42,54.761904761904766,45.23809523809524,Dec
